EPOCH|AVG_LOSS|TOT_LOSS|VAL_ERROR|CORRECT_TOP1|CORRECT_TOP5
0|2.426675883282721|97067.03533130884|2.223022524023056|0.3516|0.5956
1|2.4264652876511215|97058.61150604486|2.2230225283384324|0.3516|0.5956
2|2.4264652882114053|97058.61152845621|2.223022536277771|0.3516|0.5956
3|2.426465289065242|97058.61156260967|2.2230225300788877|0.3516|0.5956
4|2.42646528814435|97058.611525774|2.2230225283145906|0.3516|0.5956
5|2.426465287195146|97058.61148780584|2.2230225247383117|0.3516|0.5956
6|2.426465286964178|97058.61147856712|2.223022528362274|0.3516|0.5956
7|2.4264652872130275|97058.6114885211|2.2230225289583205|0.3516|0.5956
