EPOCH|AVG_LOSS|TOT_LOSS|VAL_ERROR|CORRECT_TOP1|CORRECT_TOP5
0|2.1668885769070805|2886.2955844402313|2.384497836625576|0.1018|0.5502
1|1.9543468890426394|2603.190056204796|2.561747158807516|0.1006|0.5472
2|1.8338830238348014|2442.7321877479553|2.7350761710464955|0.0962|0.5428
3|1.7465669498429284|2326.4271771907806|2.8389158409953117|0.0964|0.5358
4|1.6782375810382602|2235.4124579429626|2.9449117961496114|0.0946|0.5296
5|1.6105678271244954|2145.276345729828|3.06197112814188|0.097|0.5336
6|1.549665622346036|2064.15460896492|3.1668849909484384|0.096|0.5322
7|1.4878909722104803|1981.8707749843597|3.2756537467181683|0.0984|0.5346
8|1.4307951426452346|1905.8191300034523|3.3118423904433847|0.0962|0.5278
9|1.3737902047934833|1829.8885527849197|3.448827562871575|0.0972|0.529
10|1.3149134696603895|1751.4647415876389|3.5458368860006333|0.0952|0.5278
11|1.2564821411986966|1673.634212076664|3.7141863510347903|0.0956|0.5254
12|1.1925956347325184|1588.5373854637146|3.8208266005039215|0.097|0.516
13|1.1299025491551236|1505.0301954746246|3.999636168552935|0.0982|0.5146
14|1.0707223996654287|1426.202236354351|4.06049776584506|0.0994|0.5232
15|1.012458752986189|1348.595058977604|4.216830392955243|0.0984|0.5232
16|0.9572696728749318|1275.0832042694092|4.371072182942927|0.094|0.5252
17|0.9005488967215335|1199.5311304330826|4.591354598268866|0.0978|0.5218
18|0.8417180175851057|1121.1683994233608|4.720826051452756|0.0986|0.5272
19|0.791157071252127|1053.821218907833|4.94667409992069|0.1034|0.5266
20|0.7383069024161175|983.4247940182686|5.1407571915432815|0.1004|0.5256
21|0.6818646474464519|908.243710398674|5.332734550409019|0.1004|0.5264
22|0.6315125912964881|841.1747716069221|5.502594077600912|0.0968|0.5218
23|0.5833023971578738|776.958793014288|5.706326230225712|0.0962|0.5264
24|0.5369887955643393|715.2690756917|5.949468218516558|0.0948|0.5324
