EPOCH|AVG_LOSS|TOT_LOSS|VAL_ERROR|CORRECT_TOP1|CORRECT_TOP5
0|1.1477864868910976|4589.998161077499|4.011630171513371|0.1116|0.4358
1|1.0419141669986127|4166.614753827453|4.149786039463058|0.1096|0.4376
2|0.9646992023384967|3857.8321101516485|4.445149794516154|0.1056|0.4364
3|0.9038746761818116|3614.5948300510645|4.54243126592054|0.1056|0.437
4|0.851927468600229|3406.857946932316|4.736104737606016|0.1046|0.4346
5|0.8062501539622703|3224.194365695119|4.922053437153052|0.1038|0.4376
6|0.765661680491962|3061.8810602873564|5.074270899100275|0.1044|0.4394
7|0.7291504107238681|2915.8724924847484|5.144836207472044|0.1062|0.4436
8|0.6960561296973162|2783.5284626595676|5.302088587995979|0.1062|0.4464
9|0.6637351825906913|2654.2769951801747|5.418888895787043|0.1058|0.4472
10|0.6337594457234322|2534.4040234480053|5.5518703466277515|0.104|0.4508
11|0.6077296827449579|2430.3110012970865|5.721589961624369|0.1054|0.4486
12|0.5801608271181404|2320.0631476454437|5.81330256897762|0.1076|0.4546
13|0.5559468734725307|2223.2315470166504|5.9224270953549425|0.1092|0.4578
14|0.5308279994270613|2122.781169708818|6.025642912791837|0.1064|0.4638
15|0.5069962194365027|2027.4778815265745|6.18057302772486|0.108|0.4668
16|0.48481727573134714|1938.7842856496572|6.347671274809295|0.1082|0.469
17|0.4627327244685952|1850.4681651499122|6.445929467615435|0.1092|0.4686
18|0.442677440350001|1770.267083959654|6.585374316507287|0.1088|0.4724
19|0.42242852163438904|1689.2916580159217|6.7767119165238885|0.1082|0.4734
20|0.40400261539148663|1615.606458950555|6.954598549024208|0.107|0.4764
21|0.3853493700299769|1541.0121307498775|7.091659206780944|0.1078|0.4778
22|0.3670815281291888|1467.9590309886262|7.283237404892097|0.1112|0.4776
23|0.3490208330473141|1395.7343113562092|7.456664830824573|0.1106|0.4748
24|0.3317128153113547|1326.5195484301075|7.6160004068596345|0.1118|0.477
