EPOCH|AVG_LOSS|TOT_LOSS|VAL_ERROR|CORRECT_TOP1|CORRECT_TOP5
0|2.2938628162920476|91754.5126516819|2.2809747895002364|0.1022|0.5718
1|2.28561198258698|91424.4793034792|2.2791596257686617|0.1006|0.5756
2|2.2843646718382837|91374.58687353134|2.278539925312996|0.0996|0.5772
3|2.2838735289394854|91354.94115757942|2.2782471235752104|0.0998|0.5772
4|2.283632381474972|91345.29525899887|2.2780900601625445|0.1|0.5774
5|2.2835007883399725|91340.0315335989|2.277999305272102|0.0996|0.5766
6|2.2834239932358265|91336.95972943306|2.277944037461281|0.1002|0.5776
7|2.283376957899332|91335.07831597328|2.277909018278122|0.1004|0.579
8|2.283347072032094|91333.88288128376|2.277886101293564|0.0998|0.5792
9|2.283327532032132|91333.10128128529|2.277870718765259|0.1002|0.5792
10|2.2833144599884747|91332.578399539|2.277860182237625|0.1008|0.5794
11|2.2833055579185486|91332.22231674194|2.277852837085724|0.1002|0.5796
12|2.2832994025200604|91331.97610080242|2.277847645330429|0.1004|0.5794
13|2.28329509473145|91331.803789258|2.2778439263820647|0.1|0.5794
14|2.2832920466393234|91331.68186557293|2.2778412433624267|0.1|0.5794
15|2.283289872676134|91331.59490704536|2.2778392833948136|0.1|0.5796
16|2.283288308852911|91331.53235411644|2.277837847042084|0.0998|0.5794
17|2.2832871780484916|91331.48712193966|2.277836779284477|0.0998|0.5796
18|2.283286352941394|91331.45411765575|2.2778359903812406|0.0998|0.5796
19|2.283285748243332|91331.42992973328|2.2778354014635087|0.0998|0.5796
20|2.283285305058956|91331.41220235825|2.277834960246086|0.0998|0.5794
21|2.2832849762290715|91331.39904916286|2.2778346233844755|0.0996|0.5796
22|2.283284733182192|91331.38932728767|2.277834369802475|0.0996|0.5796
23|2.2832845516353846|91331.38206541538|2.277834184718132|0.0996|0.5796
24|2.2832844165086748|91331.37666034698|2.277834036922455|0.0996|0.5796
