EPOCH|AVG_LOSS|TOT_LOSS|VAL_ERROR|CORRECT_TOP1|CORRECT_TOP5
0|1.1472373309212405|1528.1201247870922|3.046557337078452|0.1508|0.5254
1|0.6012809392702472|800.9062111079693|3.454305961190164|0.1438|0.5256
2|0.44694332465775555|595.3285084441304|3.7844695204511285|0.1406|0.5238
3|0.3482735742375747|463.9004008844495|4.140618443140387|0.1312|0.5154
4|0.27114677353966254|361.1675023548305|4.463630297816545|0.1266|0.5178
5|0.20494717289344058|272.98963429406285|4.834482122740522|0.1226|0.5196
6|0.15156368933640443|201.8828341960907|5.199137252499908|0.1212|0.5218
7|0.10772493155952823|143.4896088372916|5.576726267787349|0.1246|0.5186
8|0.07405636976221325|98.64308452326804|6.009732640413195|0.123|0.5182
9|0.05183505160068427|69.04428873211145|6.397533042789996|0.1272|0.5258
10|0.04185804165130643|55.75491147954017|6.607784598860144|0.123|0.5286
11|0.047445309943066456|63.19715284416452|7.418705103264004|0.1096|0.5018
12|0.04624971300090856|61.6046177172102|7.618428823748976|0.1094|0.4972
13|0.04648396995215042|61.91664797626436|8.35477721088454|0.1068|0.4828
14|0.03648538116555152|48.598527712514624|7.837012188939751|0.1116|0.5072
15|0.02895489785583919|38.5679239439778|8.385813174311817|0.107|0.4948
16|0.025761394545714883|34.314177534892224|8.544570446612687|0.1086|0.5026
17|0.02118791220749011|28.222299060376827|8.963709411980957|0.1026|0.4878
18|0.024524702155485738|32.666903271107|9.3744287233565|0.105|0.4862
19|0.024139342095303298|32.153603670943994|8.945617667948454|0.1092|0.503
20|0.023057311366502038|30.712338740180712|9.731283840086311|0.1036|0.4882
21|0.01708198660663357|22.753206160035916|9.63200636687465|0.1088|0.5036
22|0.018968661501002952|25.266257119335933|9.983307140336185|0.105|0.4996
23|0.01702950176131872|22.68329634607653|9.697802181512117|0.111|0.5176
24|0.0175996237780896|23.44269887241535|10.223551431312412|0.1036|0.4962
