EPOCH|AVG_LOSS|TOT_LOSS|VAL_ERROR|CORRECT_TOP1|CORRECT_TOP5
0|1.3791242432039421|1836.993491947651|2.990906088785827|0.2132|0.54
1|0.9135377436160326|1216.8322744965553|3.435645047456771|0.1946|0.5302
2|0.7559270087081391|1006.8947755992413|3.798933081862703|0.1874|0.5338
3|0.6516007139339103|867.9321509599686|4.150561160171777|0.1828|0.5394
4|0.5719566014749152|761.846193164587|4.413846295404435|0.1856|0.5456
5|0.5032424968597409|670.3190058171749|4.715654255606234|0.184|0.543
6|0.44339214913077185|590.5983426421881|5.014350830270164|0.1882|0.5506
7|0.38970753960535154|519.0904427543283|5.30647032674551|0.189|0.5504
8|0.33777748271766994|449.91960697993636|5.513450575113296|0.1884|0.556
9|0.2905206713019996|386.9735341742635|5.886474801015854|0.1912|0.5634
10|0.2479195284067063|330.2288118377328|6.267812682294846|0.1836|0.5572
11|0.20860068750352384|277.85611575469375|6.665178021812439|0.1912|0.5614
12|0.17461616378948763|232.58873016759753|7.036411710548401|0.1906|0.5624
13|0.14402406194664022|191.8400505129248|7.408831898021698|0.1912|0.5606
14|0.11742771883682535|156.41372149065137|7.794269266080856|0.193|0.5622
15|0.097353639467074|129.67504777014256|8.255723513507842|0.1914|0.5616
16|0.08499692662412094|113.21590626332909|8.641917165565491|0.1954|0.5572
17|0.08179111732309824|108.94576827436686|9.09403214263916|0.1936|0.5592
18|0.08571097116103513|114.1670135864988|9.376564826965332|0.1916|0.5588
19|0.08251951872329186|109.91599893942475|9.865804137325286|0.1996|0.5664
20|0.07362145774399263|98.06378171499819|10.067913685894013|0.1986|0.5602
21|0.06778762585940762|90.29311764473096|9.944468896865844|0.1924|0.5578
22|0.06602449303209032|87.94462471874431|10.285423079299926|0.1742|0.5434
23|0.06544966283415139|87.17895089508966|10.454879867982864|0.178|0.5494
24|0.06447905132948356|85.88609637087211|10.82321745519638|0.1896|0.5584
