we have: 40000 dialogs, batch size of 1 with 1 as remainder to offset batches each epoch
Logging enabled in: test_top1_top2-t_size_40000-v_size_5000-emb_2048-eps_100-dt_12-17-16-19-batch_1.txt
188s:	 epoch: 0	 batch:778 (1.9%) 	 training error: 2.305544	 speed: 4.1 dialogs/s
191s:	 epoch: 0	 batch:787 (2.0%) 	 training error: 2.305511	 speed: 4.1 dialogs/s
194s:	 epoch: 0	 batch:796 (2.0%) 	 training error: 2.305477	 speed: 4.1 dialogs/s
197s:	 epoch: 0	 batch:806 (2.0%) 	 training error: 2.305442	 speed: 4.1 dialogs/s
200s:	 epoch: 0	 batch:816 (2.0%) 	 training error: 2.305407	 speed: 4.1 dialogs/s
203s:	 epoch: 0	 batch:826 (2.1%) 	 training error: 2.305372	 speed: 4.1 dialogs/s
206s:	 epoch: 0	 batch:836 (2.1%) 	 training error: 2.305339	 speed: 4.0 dialogs/s
210s:	 epoch: 0	 batch:846 (2.1%) 	 training error: 2.305306	 speed: 4.0 dialogs/s
213s:	 epoch: 0	 batch:856 (2.1%) 	 training error: 2.305275	 speed: 4.0 dialogs/s
216s:	 epoch: 0	 batch:866 (2.2%) 	 training error: 2.305244	 speed: 4.0 dialogs/s
219s:	 epoch: 0	 batch:876 (2.2%) 	 training error: 2.305213	 speed: 4.0 dialogs/s
222s:	 epoch: 0	 batch:886 (2.2%) 	 training error: 2.305184	 speed: 4.0 dialogs/s
225s:	 epoch: 0	 batch:896 (2.2%) 	 training error: 2.305155	 speed: 4.0 dialogs/s
228s:	 epoch: 0	 batch:906 (2.3%) 	 training error: 2.305126	 speed: 4.0 dialogs/s
231s:	 epoch: 0	 batch:916 (2.3%) 	 training error: 2.305099	 speed: 4.0 dialogs/s
234s:	 epoch: 0	 batch:926 (2.3%) 	 training error: 2.305071	 speed: 3.9 dialogs/s
238s:	 epoch: 0	 batch:936 (2.3%) 	 training error: 2.305045	 speed: 3.9 dialogs/s
241s:	 epoch: 0	 batch:946 (2.4%) 	 training error: 2.305019	 speed: 3.9 dialogs/s
244s:	 epoch: 0	 batch:955 (2.4%) 	 training error: 2.304996	 speed: 3.9 dialogs/s
247s:	 epoch: 0	 batch:965 (2.4%) 	 training error: 2.304971	 speed: 3.9 dialogs/s
250s:	 epoch: 0	 batch:975 (2.4%) 	 training error: 2.304946	 speed: 3.9 dialogs/s
253s:	 epoch: 0	 batch:985 (2.5%) 	 training error: 2.304922	 speed: 3.9 dialogs/s
256s:	 epoch: 0	 batch:995 (2.5%) 	 training error: 2.304899	 speed: 3.9 dialogs/s
259s:	 epoch: 0	 batch:1005 (2.5%) 	 training error: 2.304876	 speed: 3.9 dialogs/s
262s:	 epoch: 0	 batch:1015 (2.5%) 	 training error: 2.304853	 speed: 3.9 dialogs/s
266s:	 epoch: 0	 batch:1025 (2.6%) 	 training error: 2.304831	 speed: 3.9 dialogs/s
269s:	 epoch: 0	 batch:1035 (2.6%) 	 training error: 2.304810	 speed: 3.9 dialogs/s
272s:	 epoch: 0	 batch:1045 (2.6%) 	 training error: 2.304788	 speed: 3.8 dialogs/s
275s:	 epoch: 0	 batch:1055 (2.6%) 	 training error: 2.304767	 speed: 3.8 dialogs/s
278s:	 epoch: 0	 batch:1065 (2.7%) 	 training error: 2.304747	 speed: 3.8 dialogs/s
281s:	 epoch: 0	 batch:1076 (2.7%) 	 training error: 2.304725	 speed: 3.8 dialogs/s
285s:	 epoch: 0	 batch:1086 (2.7%) 	 training error: 2.304705	 speed: 3.8 dialogs/s
288s:	 epoch: 0	 batch:1096 (2.7%) 	 training error: 2.304686	 speed: 3.8 dialogs/s
291s:	 epoch: 0	 batch:1106 (2.8%) 	 training error: 2.304667	 speed: 3.8 dialogs/s
294s:	 epoch: 0	 batch:1116 (2.8%) 	 training error: 2.304648	 speed: 3.8 dialogs/s
297s:	 epoch: 0	 batch:1125 (2.8%) 	 training error: 2.304632	 speed: 3.8 dialogs/s
300s:	 epoch: 0	 batch:1135 (2.8%) 	 training error: 2.304614	 speed: 3.8 dialogs/s
303s:	 epoch: 0	 batch:1145 (2.9%) 	 training error: 2.304596	 speed: 3.8 dialogs/s

306s:	 epoch: 0	 batch:1155 (2.9%) 	 training error: 2.304578	 speed: 3.8 dialogs/s
309s:	 epoch: 0	 batch:1165 (2.9%) 	 training error: 2.304561	 speed: 3.8 dialogs/s
312s:	 epoch: 0	 batch:1175 (2.9%) 	 training error: 2.304545	 speed: 3.8 dialogs/s
316s:	 epoch: 0	 batch:1185 (3.0%) 	 training error: 2.304528	 speed: 3.8 dialogs/s
319s:	 epoch: 0	 batch:1195 (3.0%) 	 training error: 2.304512	 speed: 3.7 dialogs/s
322s:	 epoch: 0	 batch:1205 (3.0%) 	 training error: 2.304496	 speed: 3.7 dialogs/s
325s:	 epoch: 0	 batch:1215 (3.0%) 	 training error: 2.304480	 speed: 3.7 dialogs/s
328s:	 epoch: 0	 batch:1225 (3.1%) 	 training error: 2.304465	 speed: 3.7 dialogs/s
331s:	 epoch: 0	 batch:1235 (3.1%) 	 training error: 2.304449	 speed: 3.7 dialogs/s
